ts,lat,lon,h_acc,point_id,session
1789730657.972211,52.54496488552411,13.353943364615665,33.295014,p1,m1-p1-1789730659
1789730658.8376825,52.54496488552411,13.353943364615665,33.295014,p1,m1-p1-1789730659
1789730659.556165,52.544964671401296,13.35394342184987,35.395013999999996,p1,m1-p1-1789730659
1789730659.559283,52.544905254105885,13.353920960632948,39.165244812059306,p1,m1-p1-1789730659
1789730659.605362,52.5449061938803,13.353920954760197,39.15055874343385,p1,m1-p1-1789730659
1789730660.115119,52.544906192131045,13.353920953966176,39.271975337627914,p1,m1-p1-1789730659
1789730660.559215,52.54490563173972,13.353920330657672,39.371600866225876,p1,m1-p1-1789730659
1789730661.000477,52.54502493906725,13.35389787561844,13.591173529363124,p1,m1-p1-1789730659
1789730662.0004325,52.5450262254909,13.353897601832703,12.367966799353093,p1,m1-p1-1789730659
1789730663.0003915,52.545026603450424,13.353897554001096,25.87065604453326,p1,m1-p1-1789730659
1789730664.0003507,52.545026603450644,13.353897554001017,25.905314433584174,p1,m1-p1-1789730659
1789730665.0003138,52.54502660345085,13.353897554000941,25.905293811970672,p1,m1-p1-1789730659
1789730666.00041,52.54502660345107,13.353897554000872,25.905273177373612,p1,m1-p1-1789730659
1789730667.0003862,52.54502660345127,13.3538975540008,25.905252565702682,p1,m1-p1-1789730659
1789730668.0003538,52.54502660345146,13.353897554000723,25.905231936036675,p1,m1-p1-1789730659
1789730669.0003302,52.54502660345165,13.353897554000643,25.90521132260263,p1,m1-p1-1789730659
1789730670.0003133,52.545026603451845,13.353897554000564,25.905190714578172,p1,m1-p1-1789730659
1789730671.000289,52.54502660345206,13.35389755400049,25.90517013629587,p1,m1-p1-1789730659
1789730672.0002759,52.545026603452264,13.353897554000415,25.905149554392708,p1,m1-p1-1789730659
1789730673.0002623,52.545026713575346,13.353897511714496,4.954709814525099,p1,m1-p1-1789730659
1789730674.0002384,52.54502671357537,13.353897511714491,4.954708471184574,p1,m1-p1-1789730659
1789730675.0002255,52.54502671357538,13.353897511714484,4.9547069868447915,p1,m1-p1-1789730659
1789730676.0002136,52.545026581501475,13.353897700185362,4.809320691150068,p1,m1-p1-1789730659
1789730677.0001926,52.5450265815021,13.353897700184497,4.809320583305586,p1,m1-p1-1789730659
1789730678.0001822,52.545026581502725,13.353897700183635,4.809320592271994,p1,m1-p1-1789730659
1789730679.0001721,52.54502658150334,13.353897700182776,4.809320506685068,p1,m1-p1-1789730659
