ts,lat,lon,h_acc,point_id,session
1789290673.075206,52.53126951525383,13.438650104322715,9.714108861275957,p3,m1-p1-1789290672
1789290678.589813,52.53126951524441,13.438650104346085,9.725567732664032,p3,m1-p1-1789290672
1789290679.0496922,52.531269515244354,13.438650104346245,9.725568750545097,p3,m1-p1-1789290672
1789290684.586745,52.53126951523495,13.438650104369557,9.725716506477458,p3,m1-p1-1789290672
1789290690.584868,52.53126951522393,13.438650104396913,9.725889619164453,p3,m1-p1-1789290672
1789290694.053205,52.53126951522026,13.438650104406031,9.725947689743293,p3,m1-p1-1789290672
1789290696.585215,52.531269515218305,13.43865010441092,9.725978783478205,p3,m1-p1-1789290672
1789290702.585318,52.531268524362254,13.438652562085743,8.746720238808548,p3,m1-p1-1789290672
1789290708.5858831,52.53126785165296,13.438654230643614,8.01401127749875,p3,m1-p1-1789290672
1789290709.0556378,52.531267851652935,13.43865423064369,8.01401260177709,p3,m1-p1-1789290672
1789290714.584239,52.5312678516486,13.438654230654413,8.014197392556024,p3,m1-p1-1789290672
1789290719.586113,52.531267851645076,13.438654230663179,8.014345954321255,p3,m1-p1-1789290672
1789290723.6178288,52.531267851642326,13.43865423066999,8.77384057849829,p3,m1-p1-1789290672
1789290725.585679,52.53126785164166,13.43865423067162,8.77386190716885,p3,m1-p1-1789290672
1789290731.585493,52.531267284001665,13.438655638620368,8.034869833053918,p3,m1-p1-1789290672
1789290737.5787559,52.53126728399739,13.438655638630976,8.035086141361353,p3,m1-p1-1789290672
1789290738.623074,52.53126728399726,13.438655638631298,8.035092707992282,p3,m1-p1-1789290672
1789290744.584619,52.531267283993024,13.438655638641809,8.035307245908243,p3,m1-p1-1789290672
1789290750.585568,52.53126687406453,13.438656655410057,7.456225893168779,p3,m1-p1-1789290672
1789290753.628388,52.53126687406372,13.438656655412075,7.4562863376296535,p3,m1-p1-1789290672
1789290756.5855188,52.53126687406295,13.438656655413993,7.45634367311109,p3,m1-p1-1789290672
1789290759.586962,52.53126676377412,13.438656341543846,7.415470096224427,p3,m1-p1-1789290672
1789290760.586073,52.53126668573582,13.438656119455255,7.386375616375391,p3,m1-p1-1789290672
1789290761.579175,52.5312666174388,13.438655925089295,7.360819260894921,p3,m1-p1-1789290672
1789290762.584899,52.531266609453176,13.438655902363024,7.35783138097277,p3,m1-p1-1789290672
1789290762.5857081,52.53126636166745,13.438656675267426,6.905355740404739,p3,m1-p1-1789290672
1789290763.585855,52.53126635563301,13.43865665716107,6.9031835997211255,p3,m1-p1-1789290672
1789290764.193036,52.53126637351284,13.438656601220318,6.9031864330553345,p3,m1-p1-1789290672
1789290764.586073,52.53126623287954,13.438656180860221,6.852285819276379,p3,m1-p1-1789290672
1789290765.586799,52.53126607134117,13.43865569801376,6.793357521423383,p3,m1-p1-1789290672
1789290766.587333,52.53126594284399,13.438655313929027,6.746116299630451,p3,m1-p1-1789290672
1789290767.58807,52.531265938919205,13.438655302197668,6.744675359894496,p3,m1-p1-1789290672
1789290769.580793,52.531265949671855,13.438655250096353,6.744701813998845,p3,m1-p1-1789290672
