ts,lat,lon,h_acc,point_id,session
1789660192.333438,52.49995219934325,13.476992381585523,13.220031212641846,p2,m1-p2-1789660191
1789660198.3308458,52.49995126157429,13.476990188203567,14.927424220761813,p2,m1-p2-1789660191
1789660198.3308458,52.49995126157429,13.476990188203567,14.927424220761813,p2,m1-p2-1789660191
1789660215.4643884,52.49994947657862,13.477002033216921,13.095014,p2,m1-p2-1789660191
1789660217.271683,52.499954007705966,13.476991736366555,11.967861022721596,p2,m1-p2-1789660191
1789660217.2825131,52.49995410062704,13.476991635530648,11.967432378538774,p2,m1-p2-1789660191
1789660223.27933,52.499955374551455,13.476992394023933,10.269428194663115,p2,m1-p2-1789660191
1789660235.033432,52.499981800944006,13.476998689404496,9.551530636830261,p2,m1-p2-1789660191
1789660235.045425,52.49998180094813,13.476998689372207,9.5515306741611,p2,m1-p2-1789660191
1789660238.28476,52.49997748555228,13.4769977269463,8.62641417668392,p2,m1-p2-1789660191
1789660253.2888842,52.49997452322879,13.476997066284577,7.921985493095117,p2,m1-p2-1789660191
1789660268.2940822,52.499972363729704,13.476996584669925,7.3663676113538905,p2,m1-p2-1789660191
1789660272.5019999,52.49997239843789,13.476996546333153,7.366386964076415,p2,m1-p2-1789660191
1789660272.5169458,52.49997239843789,13.476996546333154,7.366386965552533,p2,m1-p2-1789660191
1789660283.294674,52.49997075040701,13.476996184292029,6.913051178931864,p2,m1-p2-1789660191
1789660298.299879,52.499969453615215,13.476995899411465,6.535089693892142,p2,m1-p2-1789660191
1789660313.30506,52.49996840653412,13.476995669387609,6.213332083690002,p2,m1-p2-1789660191
1789660328.308762,52.49996754331305,13.476995480329904,5.934508306442775,p2,m1-p2-1789660191
1789660343.314045,52.499966819562815,13.4769953212891,5.690970543329344,p2,m1-p2-1789660191
1789660348.045055,52.49996682578546,13.476995362570769,5.691120132368767,p2,m1-p2-1789660191
1789660348.055941,52.49996682578546,13.476995362570769,5.69112013338301,p2,m1-p2-1789660191
1789660358.319343,52.49996620978077,13.476995224215832,5.474622951418055,p2,m1-p2-1789660191
1789660358.6539469,52.49996622904317,13.476995203061952,5.474582951935114,p2,m1-p2-1789660191
1789660358.670064,52.49996622904317,13.476995203061954,5.474582954167782,p2,m1-p2-1789660191
1789660373.3245502,52.49996569723309,13.476995085394417,5.282063333515677,p2,m1-p2-1789660191
1789660388.329766,52.499965234430675,13.476994982995423,5.1088528727106395,p2,m1-p2-1789660191
