ts,true_distance,depth_m,confidence,lighting
1789289079.300407,1.0,0.88525390625,2,tag
1789289079.316856,1.0,0.884765625,2,tag
1789289079.333507,1.0,0.88623046875,2,tag
1789289079.350267,1.0,0.88525390625,2,tag
1789289079.366889,1.0,0.88525390625,2,tag
1789289079.383512,1.0,0.88525390625,2,tag
1789289079.400272,1.0,0.88623046875,2,tag
1789289079.416868,1.0,0.884765625,2,tag
1789289079.43363,1.0,0.88427734375,2,tag
1789289079.450381,1.0,0.88427734375,2,tag
1789289079.466953,1.0,0.884765625,2,tag
1789289079.4835129,1.0,0.8837890625,2,tag
1789289079.500255,1.0,0.88525390625,2,tag
1789289079.516926,1.0,0.8837890625,2,tag
1789289079.533611,1.0,0.88427734375,2,tag
1789289079.5502539,1.0,0.88427734375,2,tag
1789289079.566968,1.0,0.87548828125,0,tag
1789289079.5836859,1.0,0.87646484375,0,tag
1789289079.600219,1.0,0.98828125,0,tag
1789289079.6169538,1.0,1.3779296875,1,tag
1789289079.633563,1.0,1.384765625,2,tag
1789289079.650244,1.0,1.384765625,2,tag
1789289079.666922,1.0,1.3857421875,2,tag
1789289079.683609,1.0,1.3857421875,2,tag
1789289079.7003012,1.0,1.3857421875,2,tag
1789289079.7169309,1.0,1.3857421875,2,tag
1789289079.7335892,1.0,1.3857421875,2,tag
1789289079.750274,1.0,1.3857421875,2,tag
1789289079.7669392,1.0,1.3857421875,2,tag
1789289079.783708,1.0,1.38671875,2,tag
