verfahren,true_distance,gemessen,los
uwb,2.0,2.128526449203491,true
uwb,2.0,2.1270275115966797,true
uwb,2.0,2.1069414615631104,true
uwb,2.0,2.1240296363830566,true
uwb,2.0,2.1198325157165527,true
uwb,2.0,2.1129372119903564,true
uwb,2.0,2.1273272037506104,true
uwb,2.0,2.144115686416626,true
uwb,2.0,2.1096396446228027,true
uwb,2.0,2.1066415309906006,true
uwb,2.0,2.09614896774292,true
uwb,2.0,2.0772619247436523,true
uwb,2.0,2.1333231925964355,true
uwb,2.0,2.1405181884765625,true
uwb,2.0,2.0952494144439697,true
uwb,2.0,2.136021375656128,true
uwb,2.0,2.128526449203491,true
uwb,2.0,2.1162350177764893,true
uwb,2.0,2.142017126083374,true
uwb,2.0,2.1120378971099854,true
uwb,2.0,2.1219310760498047,true
uwb,2.0,2.117434024810791,true
uwb,2.0,2.1351218223571777,true
uwb,2.0,2.115335464477539,true
uwb,2.0,2.125528573989868,true
uwb,2.0,2.122830390930176,true
uwb,2.0,2.1447153091430664,true
uwb,2.0,2.127926826477051,true
uwb,2.0,2.083857297897339,true
uwb,2.0,2.1171343326568604,true
uwb,2.0,2.1210315227508545,true
uwb,2.0,2.1099393367767334,true
uwb,2.0,2.1219310760498047,true
uwb,2.0,2.099146842956543,true
uwb,2.0,2.100945472717285,true
uwb,2.0,2.0952494144439697,true
uwb,2.0,2.1117379665374756,true
uwb,2.0,2.1129372119903564,true
uwb,2.0,2.100945472717285,true
uwb,2.0,2.115335464477539,true
uwb,2.0,2.10634183883667,true
uwb,2.0,2.11653470993042,true
uwb,2.0,2.105442523956299,true
uwb,2.0,2.1108386516571045,true
uwb,2.0,2.1219310760498047,true
uwb,2.0,2.1120378971099854,true
uwb,2.0,2.1138365268707275,true
uwb,2.0,2.1300253868103027,true
uwb,2.0,2.1240296363830566,true
uwb,2.0,2.1252286434173584,true
uwb,2.0,2.130625009536743,true
uwb,2.0,2.1168346405029297,true
uwb,2.0,2.1189332008361816,true
uwb,2.0,2.125828266143799,true
uwb,2.0,2.120731830596924,true
uwb,2.0,2.1222307682037354,true
uwb,2.0,2.1264278888702393,true
uwb,2.0,2.141117811203003,true
uwb,2.0,2.109339714050293,true
uwb,2.0,2.131824254989624,true
ble,2.0,0.31622776601683794,true
ble,2.0,0.3162277659516805,true
ble,2.0,0.31622776517428425,true
ble,2.0,0.35975078374838454,true
ble,2.0,0.3595637204314456,true
ble,2.0,0.37978800859911055,true
ble,2.0,0.39018872611272537,true
ble,2.0,0.3959239209629359,true
ble,2.0,0.39931914305065114,true
ble,2.0,0.40149604079427514,true
ble,2.0,0.40301933819699853,true
