verfahren,true_distance,gemessen,los
uwb,2.0,1.3007994890213013,true
uwb,2.0,1.3058959245681763,true
uwb,2.0,1.3073948621749878,true
uwb,2.0,1.3223844766616821,true
uwb,2.0,1.3574602603912354,true
uwb,2.0,1.314889669418335,true
uwb,2.0,1.3124914169311523,true
uwb,2.0,1.314889669418335,true
uwb,2.0,1.337973713874817,true
uwb,2.0,1.3457683324813843,true
uwb,2.0,1.342470645904541,true
uwb,2.0,1.3262817859649658,true
uwb,2.0,1.3538627624511719,true
uwb,2.0,1.3130909204483032,true
uwb,2.0,1.349665641784668,true
uwb,2.0,1.311891794204712,true
uwb,2.0,1.3538627624511719,true
uwb,2.0,1.3340764045715332,true
uwb,2.0,1.3325774669647217,true
uwb,2.0,1.33077871799469,true
uwb,2.0,1.3361749649047852,true
uwb,2.0,1.347567081451416,true
uwb,2.0,1.3508647680282593,true
uwb,2.0,1.3583595752716064,true
uwb,2.0,1.3133907318115234,true
uwb,2.0,1.3295795917510986,true
uwb,2.0,1.3355753421783447,true
uwb,2.0,1.332877278327942,true
uwb,2.0,1.3397724628448486,true
uwb,2.0,1.3316781520843506,true
uwb,2.0,1.3292797803878784,true
uwb,2.0,1.314889669418335,true
uwb,2.0,1.3520640134811401,true
uwb,2.0,1.3319778442382812,true
uwb,2.0,1.3391729593276978,true
uwb,2.0,1.3211853504180908,true
uwb,2.0,1.3298794031143188,true
uwb,2.0,1.3346760272979736,true
uwb,2.0,1.3196864128112793,true
uwb,2.0,1.3346760272979736,true
uwb,2.0,1.333776593208313,true
uwb,2.0,1.326581597328186,true
uwb,2.0,1.345468521118164,true
uwb,2.0,1.3181874752044678,true
uwb,2.0,1.3082942962646484,true
uwb,2.0,1.3502652645111084,true
uwb,2.0,1.3211853504180908,true
uwb,2.0,1.3415712118148804,true
uwb,2.0,1.3229840993881226,true
uwb,2.0,1.3079944849014282,true
uwb,2.0,1.2978014945983887,true
uwb,2.0,1.3124914169311523,true
uwb,2.0,1.306795358657837,true
uwb,2.0,1.3052964210510254,true
uwb,2.0,1.2927050590515137,true
uwb,2.0,1.3310785293579102,true
uwb,2.0,1.303497552871704,true
uwb,2.0,1.2945038080215454,true
uwb,2.0,1.3112921714782715,true
uwb,2.0,1.2906064987182617,true
ble,2.0,0.35938136638046275,true
ble,2.0,0.3175505716754918,true
ble,2.0,0.34151031925526304,true
ble,2.0,0.350714757146803,true
ble,2.0,0.3777401133465626,true
ble,2.0,0.39066601192685174,true
ble,2.0,0.4154340979017655,true
ble,2.0,0.4298754238608395,true
ble,2.0,0.42380240352008597,true
ble,2.0,0.40638069574632074,true
