verfahren,true_distance,gemessen,los
ble,2.0,3.1622776601683795,true
ble,2.0,2.5888394594515205,true
ble,2.0,2.3722595802460282,true
ble,2.0,2.398010181538628,true
ble,2.0,2.412649033827103,true
ble,2.0,2.421599270884016,true
ble,2.0,2.3577040357408587,true
ble,2.0,2.316128970742511,true
ble,2.0,2.287450942000939,true
ble,2.0,2.385566914503754,true
ble,2.0,2.4673487673721834,true
ble,2.0,2.536681985513597,true
ble,2.0,2.59629003917798,true
ble,2.0,2.6481197616030405,true
ble,2.0,2.6614818856268405,true
ble,2.0,2.7320003652048275,true
ble,2.0,2.7680683590614534,true
ble,2.0,2.8004046859028877,true
ble,2.0,2.857163004335144,true
ble,2.0,2.934465157236008,true
ble,2.0,3.006952376464365,true
ble,2.0,3.075078253322365,true
ble,2.0,3.112295196125324,true
ble,2.0,3.1162689898850386,true
ble,2.0,3.050243150866615,true
ble,2.0,3.027404148528725,true
ble,2.0,2.9728022825135865,true
ble,2.0,2.9245094949442447,true
ble,2.0,2.8815331952168295,true
ble,2.0,2.873718298417555,true
ble,2.0,2.89385323338515,true
ble,2.0,2.8850788731502246,true
ble,2.0,2.8770351089893955,true
ble,2.0,2.896825934358197,true
ble,2.0,2.9399310401468863,true
ble,2.0,2.927446813720809,true
ble,2.0,2.916019900351352,true
ble,2.0,2.905546564096259,true
ble,2.0,2.8959362336159167,true
ble,2.0,2.887108926339744,true
ble,2.0,2.8488196391236866,true
ble,2.0,2.870177004296245,true
ble,2.0,2.954836750527634,true
ble,2.0,2.9947330229011047,true
ble,2.0,2.9456059600295332,true
ble,2.0,2.8670078063060647,true
ble,2.0,2.860520657594573,true
ble,2.0,2.854538603192568,true
ble,2.0,2.8195262906523566,true
ble,2.0,2.7878383029058242,true
ble,2.0,2.7874407397272924,true
ble,2.0,2.75867519682709,true
ble,2.0,2.732537574121976,true
ble,2.0,2.7609391126518643,true
ble,2.0,2.787763773042734,true
ble,2.0,2.7269434121602725,true
ble,2.0,2.7035625553779097,true
ble,2.0,2.682261237673011,true
ble,2.0,2.632966904935589,true
ble,2.0,2.617835295848764,true
ble,2.0,2.6298171260312535,true
ble,2.0,2.664436522741661,true
ble,2.0,2.6463978396944436,true
ble,2.0,2.629942108549574,true
ble,2.0,2.553277543039412,true
ble,2.0,2.517016962838735,true
ble,2.0,2.4541697274837033,true
ble,2.0,2.4276476680935963,true
ble,2.0,2.4035643858552684,true
ble,2.0,2.381684776390658,true
ble,2.0,2.3868813246796883,true
ble,2.0,2.4347226288444666,true
ble,2.0,2.4358191756681706,true
ble,2.0,2.410474007511381,true
ble,2.0,2.413493099967709,true
ble,2.0,2.4162804863144065,true
ble,2.0,2.3927417234439354,true
ble,2.0,2.397163877733204,true
ble,2.0,2.3467832050523634,true
ble,2.0,2.302193013059084,true
ble,2.0,2.28935840694272,true
ble,2.0,2.2776545144892935,true
ble,2.0,2.211120464383782,true
ble,2.0,2.15309457650528,true
ble,2.0,2.102158368019421,true
ble,2.0,2.057181794747168,true
ble,2.0,2.0424505766954426,true
ble,2.0,2.029055149021797,true
ble,2.0,2.0168763390919056,true
ble,2.0,2.0058085987257375,true
ble,2.0,1.9957450091547733,true
ble,2.0,1.986606570240474,true
ble,2.0,1.9782930621730217,true
ble,2.0,1.9464343261268584,true
ble,2.0,1.9631955388192723,true
ble,2.0,1.9328627584920877,true
ble,2.0,1.905921535383868,true
ble,2.0,1.9050059814994407,true
ble,2.0,1.8810222771013052,true
ble,2.0,1.8596318406816839,true
ble,2.0,1.8628451002660886,true
ble,2.0,1.8860393924141967,true
ble,2.0,1.9076720287968152,true
ble,2.0,1.906579454813952,true
ble,2.0,1.905586590459856,true
ble,2.0,1.9258682168168002,true
ble,2.0,1.9640668021245546,true
ble,2.0,2.018048730294326,true
ble,2.0,2.0695571639058286,true
ble,2.0,2.098804445850589,true
ble,2.0,2.103671856172369,true
ble,2.0,2.0832831973878827,true
ble,2.0,2.0651189906865466,true
ble,2.0,2.094225064778787,true
ble,2.0,2.158762998299393,true
ble,2.0,2.1583808062288314,true
ble,2.0,2.181062682305086,true
ble,2.0,2.2586933254580885,true
ble,2.0,2.333998623392462,true
ble,2.0,2.3434480966204325,true
ble,2.0,2.296982218858984,true
ble,2.0,2.2562453943054264,true
ble,2.0,2.220271501052561,true
ble,2.0,2.1883695082919394,true
ble,2.0,2.1599573274282484,true
ble,2.0,2.1345645300547007,true
ble,2.0,3.1622776601683795,true
