verfahren,true_distance,gemessen,los
uwb,0.5,0.640356719493866,true
uwb,0.5,0.6505496501922607,true
uwb,0.5,0.6583442091941833,true
uwb,0.5,0.6295641660690308,true
uwb,0.5,0.6469521522521973,true
uwb,0.5,0.643354594707489,true
uwb,0.5,0.643354594707489,true
uwb,0.5,0.6493504643440247,true
uwb,0.5,0.6178722381591797,true
uwb,0.5,0.6577446460723877,true
uwb,0.5,0.6472519040107727,true
uwb,0.5,0.6388577222824097,true
uwb,0.5,0.664340078830719,true
uwb,0.5,0.6769313812255859,true
uwb,0.5,0.6472519040107727,true
uwb,0.5,0.6301637291908264,true
uwb,0.5,0.6445537805557251,true
uwb,0.5,0.6148743033409119,true
uwb,0.5,0.6019832491874695,true
uwb,0.5,0.6553463339805603,true
uwb,0.5,0.6685371994972229,true
uwb,0.5,0.6649397015571594,true
uwb,0.5,0.6883234977722168,true
uwb,0.5,0.6634407043457031,true
uwb,0.5,0.6181720495223999,true
uwb,0.5,0.6640402674674988,true
uwb,0.5,0.6325621008872986,true
uwb,0.5,0.6325621008872986,true
uwb,0.5,0.6526482105255127,true
uwb,0.5,0.6355600357055664,true
uwb,0.5,0.619371235370636,true
uwb,0.5,0.6670382022857666,true
uwb,0.5,0.6475517153739929,true
uwb,0.5,0.6418556571006775,true
uwb,0.5,0.657145082950592,true
uwb,0.5,0.6265662312507629,true
uwb,0.5,0.6484510898590088,true
uwb,0.5,0.6583442091941833,true
uwb,0.5,0.624467670917511,true
uwb,0.5,0.6283649802207947,true
uwb,0.5,0.6829271912574768,true
uwb,0.5,0.6673380136489868,true
uwb,0.5,0.6427550315856934,true
uwb,0.5,0.6940195560455322,true
uwb,0.5,0.6121761798858643,true
uwb,0.5,0.6547467112541199,true
uwb,0.5,0.6286647915840149,true
uwb,0.5,0.6112768054008484,true
uwb,0.5,0.6283649802207947,true
uwb,0.5,0.6580444574356079,true
uwb,0.5,0.662241518497467,true
uwb,0.5,0.6091782450675964,true
uwb,0.5,0.6490506529808044,true
uwb,0.5,0.6514490246772766,true
uwb,0.5,0.6694365739822388,true
uwb,0.5,0.6121761798858643,true
uwb,0.5,0.6313629150390625,true
uwb,0.5,0.610977053642273,true
uwb,0.5,0.6391575336456299,true
uwb,0.5,0.6352602243423462,true
ble,0.5,0.35938136638046275,true
ble,0.5,0.3593813667730489,true
ble,0.5,0.44286441073461313,true
ble,0.5,0.4250873089024442,true
ble,0.5,0.3910538087785359,true
ble,0.5,0.3983116684315163,true
ble,0.5,0.4204401120992118,true
ble,0.5,0.4644167587040473,true
ble,0.5,0.4478929330429342,true
ble,0.5,0.4233375182362161,true
ble,0.5,0.4315685186402127,true
ble,0.5,0.4745940221832642,true
ble,0.5,0.5213501965059829,true
ble,0.5,0.5451329164589622,true
ble,0.5,0.5143409967432931,true
