verfahren,true_distance,gemessen,los
uwb,7.0,7.354808330535889,true
uwb,7.0,7.307441234588623,true
uwb,7.0,7.317523002624512,true
uwb,7.0,7.33586311340332,true
uwb,7.0,7.290694236755371,true
uwb,7.0,7.2751784324646,true
uwb,7.0,7.330761432647705,true
uwb,7.0,7.27176570892334,true
uwb,7.0,7.368993282318115,true
uwb,7.0,7.240561008453369,true
uwb,7.0,7.247241020202637,true
uwb,7.0,7.355924606323242,true
uwb,7.0,7.340728759765625,true
uwb,7.0,7.277797698974609,true
uwb,7.0,7.318558216094971,true
uwb,7.0,7.334260940551758,true
uwb,7.0,7.310739040374756,true
uwb,7.0,7.308955669403076,true
uwb,7.0,7.336948394775391,true
uwb,7.0,7.223199367523193,true
uwb,7.0,7.353028297424316,true
uwb,7.0,7.322023868560791,true
uwb,7.0,7.354233264923096,true
uwb,7.0,7.326390266418457,true
uwb,7.0,7.307690620422363,true
uwb,7.0,7.3610405921936035,true
uwb,7.0,7.400020599365234,true
uwb,7.0,7.407817840576172,true
uwb,7.0,7.383658409118652,true
uwb,7.0,7.424488067626953,true
uwb,7.0,7.389752388000488,true
uwb,7.0,7.334932327270508,true
uwb,7.0,7.225231647491455,true
uwb,7.0,7.279405117034912,true
uwb,7.0,7.318896293640137,true
uwb,7.0,7.2624382972717285,true
uwb,7.0,7.242920875549316,true
uwb,7.0,7.30250358581543,true
uwb,7.0,7.34481954574585,true
uwb,7.0,7.272003173828125,true
uwb,7.0,7.291473865509033,true
uwb,7.0,7.29475212097168,true
uwb,7.0,7.348222732543945,true
uwb,7.0,7.345926761627197,true
uwb,7.0,7.340480804443359,true
uwb,7.0,7.368411064147949,true
uwb,7.0,7.398308753967285,true
uwb,7.0,7.411981582641602,true
uwb,7.0,7.462823867797852,true
uwb,7.0,7.414463043212891,true
uwb,7.0,7.333223342895508,true
uwb,7.0,7.374255657196045,true
uwb,7.0,7.3022074699401855,true
uwb,7.0,7.262584686279297,true
uwb,7.0,7.317444324493408,true
uwb,7.0,7.313848495483398,true
uwb,7.0,7.288285255432129,true
uwb,7.0,7.299682140350342,true
uwb,7.0,7.231103420257568,true
uwb,7.0,7.230112552642822,true
ble,7.0,3.5938136638046276,true
ble,7.0,3.942022058432647,true
ble,7.0,3.78143518998758,true
ble,7.0,4.166290648928671,true
ble,7.0,4.758109206713846,true
ble,7.0,4.990514326441177,true
ble,7.0,5.261656825458612,true
ble,7.0,5.37116689208866,true
ble,7.0,5.454058154127535,true
