verfahren,true_distance,gemessen,los
ble,9.0,5.087057066435007,true
ble,9.0,5.296375499616467,true
ble,9.0,5.574221692149379,true
ble,9.0,5.904347059294277,true
ble,9.0,6.247922633407915,true
ble,9.0,6.457733724772442,true
ble,9.0,6.546796238383629,true
ble,9.0,6.728147629703612,true
ble,9.0,6.848461927449418,true
ble,9.0,6.905610050459198,true
ble,9.0,6.957562589020322,true
ble,9.0,7.056223438237707,true
ble,9.0,7.096994795554227,true
ble,9.0,7.134491951917242,true
ble,9.0,7.218406576696253,true
ble,9.0,7.3409860180588,true
ble,9.0,7.457510775121349,true
ble,9.0,7.608103749044249,true
ble,9.0,7.712313745767219,true
ble,9.0,7.713990827730892,true
ble,9.0,7.658657075246918,true
ble,9.0,7.607805522346161,true
