trip,start_ts,dauer_min,y_true,y_model,konfidenz,quelle,y_baseline
trip_1789669652,1789669652.1879392,13.963532356421153,bike,car,0.7959391085797402,app,bike
trip_1789728770,1789728770.194714,15.896750684579214,train,train,0.37919716711836443,app,car
trip_1789737216,1789737216.0000005,4.483348492781321,train,car,0.7821635242104646,app,car
trip_1789895193,1789895193.427765,2.8095348040262857,foot,foot,0.8310781926256419,offline,foot
trip_1789895193,1789895799.0001812,15.333321301142375,car,car,0.49937299325570367,offline,car
trip_1789895193,1789898312.999826,4.116667461395264,foot,foot,0.746448075866391,offline,foot
