ts,true_distance,depth_m,confidence,lighting
1789314073.986703,4.0,3.998046875,2,tag
1789314073.9936929,4.0,3.99609375,2,tag
1789314074.010457,4.0,3.99609375,2,tag
1789314074.027132,4.0,3.99609375,2,tag
1789314074.0438151,4.0,3.99609375,2,tag
1789314074.060453,4.0,3.994140625,2,tag
1789314074.0771232,4.0,3.99609375,2,tag
1789314074.093761,4.0,3.99609375,2,tag
1789314074.110475,4.0,3.994140625,2,tag
1789314074.1271582,4.0,3.994140625,2,tag
1789314074.143676,4.0,3.994140625,2,tag
1789314074.1605139,4.0,3.998046875,2,tag
1789314074.177153,4.0,3.99609375,2,tag
1789314074.193812,4.0,3.99609375,2,tag
1789314074.210446,4.0,3.994140625,2,tag
1789314074.227112,4.0,3.99609375,2,tag
1789314074.243823,4.0,3.99609375,2,tag
1789314074.260472,4.0,3.99609375,2,tag
1789314074.277009,4.0,3.99609375,2,tag
1789314074.293703,4.0,3.99609375,2,tag
1789314074.310493,4.0,3.99609375,2,tag
1789314074.3271441,4.0,3.994140625,2,tag
1789314074.343827,4.0,3.994140625,2,tag
1789314074.3604012,4.0,3.994140625,2,tag
1789314074.3771439,4.0,3.994140625,2,tag
1789314074.393797,4.0,3.994140625,2,tag
1789314074.410403,4.0,3.994140625,2,tag
1789314074.427012,4.0,3.994140625,2,tag
1789314074.443677,4.0,3.99609375,2,tag
1789314074.460571,4.0,3.99609375,2,tag
