ts,true_distance,depth_m,confidence,lighting
1789312968.478286,17.0,17.5625,2,tag
1789312968.481872,17.0,17.59375,2,tag
1789312968.496892,17.0,17.703125,2,tag
1789312968.5135121,17.0,17.65625,2,tag
1789312968.5302181,17.0,17.5625,2,tag
1789312968.549097,17.0,17.59375,2,tag
1789312968.563501,17.0,17.5,2,tag
1789312968.580217,17.0,17.4375,2,tag
1789312968.59686,17.0,17.5,2,tag
1789312968.61355,17.0,17.578125,2,tag
1789312968.630206,17.0,17.515625,2,tag
1789312968.648004,17.0,17.546875,2,tag
1789312968.6635098,17.0,17.515625,2,tag
1789312968.68027,17.0,17.515625,2,tag
1789312968.696907,17.0,17.53125,2,tag
1789312968.7135348,17.0,17.53125,2,tag
1789312968.730197,17.0,17.5,2,tag
1789312968.750603,17.0,17.546875,2,tag
1789312968.763519,17.0,17.515625,2,tag
1789312968.780243,17.0,17.453125,2,tag
1789312968.796989,17.0,17.578125,2,tag
1789312968.8135262,17.0,17.5625,2,tag
1789312968.830267,17.0,17.625,2,tag
1789312968.848263,17.0,17.59375,2,tag
1789312968.863491,17.0,17.59375,2,tag
1789312968.880233,17.0,17.578125,2,tag
1789312968.896924,17.0,17.5625,2,tag
1789312968.9135609,17.0,17.53125,2,tag
1789312968.930211,17.0,17.453125,2,tag
1789312968.949595,17.0,17.484375,2,tag
