ts,true_distance,depth_m,confidence,lighting
1789314159.475245,4.0,4.01171875,2,nacht
1789314159.4835958,4.0,4.01171875,2,nacht
1789314159.500236,4.0,4.01171875,2,nacht
1789314159.5169501,4.0,4.01171875,2,nacht
1789314159.534805,4.0,4.01171875,2,nacht
1789314159.5502958,4.0,4.01171875,2,nacht
1789314159.5670462,4.0,4.015625,2,nacht
1789314159.583684,4.0,4.015625,2,nacht
1789314159.600317,4.0,4.01171875,2,nacht
1789314159.6170158,4.0,4.015625,2,nacht
1789314159.6340299,4.0,4.015625,2,nacht
1789314159.6503491,4.0,4.015625,2,nacht
1789314159.666976,4.0,4.015625,2,nacht
1789314159.683656,4.0,4.015625,2,nacht
1789314159.7003222,4.0,4.015625,2,nacht
1789314159.717073,4.0,4.015625,2,nacht
1789314159.7364159,4.0,4.015625,2,nacht
1789314159.750304,4.0,4.015625,2,nacht
1789314159.767065,4.0,4.015625,2,nacht
1789314159.783694,4.0,4.015625,2,nacht
1789314159.8003402,4.0,4.015625,2,nacht
1789314159.817017,4.0,4.01171875,2,nacht
1789314159.833662,4.0,4.01171875,2,nacht
1789314159.850296,4.0,4.01171875,2,nacht
1789314159.867044,4.0,4.01171875,2,nacht
1789314159.883655,4.0,4.01171875,2,nacht
1789314159.900296,4.0,4.01171875,2,nacht
1789314159.917062,4.0,4.01171875,2,nacht
1789314159.9340072,4.0,4.01171875,2,nacht
1789314159.950362,4.0,4.015625,2,nacht
