ts,true_distance,depth_m,confidence,lighting
1789314123.708431,1.0,0.99560546875,2,nacht
1789314123.716692,1.0,0.99560546875,2,nacht
1789314123.7355251,1.0,0.99560546875,2,nacht
1789314123.749918,1.0,0.99609375,2,nacht
1789314123.766783,1.0,0.99609375,2,nacht
1789314123.7833061,1.0,0.99658203125,2,nacht
1789314123.799936,1.0,0.99755859375,2,nacht
1789314123.816616,1.0,0.9970703125,2,nacht
1789314123.8333669,1.0,0.99755859375,2,nacht
1789314123.850096,1.0,0.99755859375,2,nacht
1789314123.866753,1.0,0.9990234375,2,nacht
1789314123.883424,1.0,0.99951171875,2,nacht
1789314123.900114,1.0,0.99951171875,2,nacht
1789314123.9169579,1.0,0.99951171875,2,nacht
1789314123.936296,1.0,1.0,2,nacht
1789314123.9500852,1.0,1.0,2,nacht
1789314123.9667711,1.0,1.0009765625,2,nacht
1789314123.983459,1.0,1.0,2,nacht
1789314124.000087,1.0,1.0,2,nacht
1789314124.017071,1.0,1.0009765625,2,nacht
1789314124.037456,1.0,1.0009765625,2,nacht
1789314124.050029,1.0,1.0009765625,2,nacht
1789314124.066753,1.0,1.001953125,2,nacht
1789314124.083465,1.0,1.0029296875,2,nacht
1789314124.1000981,1.0,1.0029296875,2,nacht
1789314124.1167989,1.0,1.0029296875,2,nacht
1789314124.13359,1.0,1.001953125,2,nacht
1789314124.14998,1.0,1.0029296875,2,nacht
1789314124.166625,1.0,1.0029296875,2,nacht
1789314124.183497,1.0,1.0029296875,2,nacht
