ts,true_distance,depth_m,confidence,lighting
1789314089.8777242,3.0,3.029296875,2,tag
1789314089.8882298,3.0,3.029296875,2,tag
1789314089.903779,3.0,3.029296875,2,tag
1789314089.905613,3.0,3.029296875,2,tag
1789314089.92153,3.0,3.029296875,2,tag
1789314089.944026,3.0,3.029296875,2,tag
1789314089.954956,3.0,3.03125,2,tag
1789314089.9716802,3.0,3.03125,2,tag
1789314089.9882789,3.0,3.029296875,2,tag
1789314090.0049338,3.0,3.03125,2,tag
1789314090.021605,3.0,3.03125,2,tag
1789314090.0550342,3.0,3.029296875,2,tag
1789314090.071576,3.0,3.03125,2,tag
1789314090.088399,3.0,3.03125,2,tag
1789314090.105013,3.0,3.029296875,2,tag
1789314090.121656,3.0,3.029296875,2,tag
1789314090.13829,3.0,3.029296875,2,tag
1789314090.1548839,3.0,3.029296875,2,tag
1789314090.171638,3.0,3.02734375,2,tag
1789314090.188427,3.0,3.02734375,2,tag
1789314090.204969,3.0,3.02734375,2,tag
1789314090.221647,3.0,3.029296875,2,tag
1789314090.238741,3.0,3.029296875,2,tag
1789314090.254957,3.0,3.02734375,2,tag
1789314090.271902,3.0,3.02734375,2,tag
1789314090.288354,3.0,3.02734375,2,tag
1789314090.304987,3.0,3.02734375,2,tag
1789314090.321659,3.0,3.02734375,2,tag
1789314090.338381,3.0,3.02734375,2,tag
1789314090.3549562,3.0,3.025390625,2,tag
