ts,true_distance,depth_m,confidence,lighting
1789314009.965468,2.0,1.990234375,2,tag
1789314009.9711719,2.0,1.98828125,2,tag
1789314009.9878712,2.0,1.98828125,2,tag
1789314010.004462,2.0,1.9892578125,2,tag
1789314010.021147,2.0,1.9892578125,2,tag
1789314010.037912,2.0,1.9892578125,2,tag
1789314010.05464,2.0,1.98828125,2,tag
1789314010.071223,2.0,1.98828125,2,tag
1789314010.087957,2.0,1.98828125,2,tag
1789314010.104471,2.0,1.98828125,2,tag
1789314010.12112,2.0,1.98828125,2,tag
1789314010.137806,2.0,1.98828125,2,tag
1789314010.154844,2.0,1.9892578125,2,tag
1789314010.171294,2.0,1.9892578125,2,tag
1789314010.188076,2.0,1.9892578125,2,tag
1789314010.204843,2.0,1.98828125,2,tag
1789314010.221334,2.0,1.98828125,2,tag
1789314010.2378411,2.0,1.98828125,2,tag
1789314010.254622,2.0,1.98828125,2,tag
1789314010.271148,2.0,1.98828125,2,tag
1789314010.2880511,2.0,1.98828125,2,tag
1789314010.3044639,2.0,1.98828125,2,tag
1789314010.3213801,2.0,1.986328125,2,tag
1789314010.337788,2.0,1.9873046875,2,tag
1789314010.3544822,2.0,1.9873046875,2,tag
1789314010.371144,2.0,1.9873046875,2,tag
1789314010.3877811,2.0,1.9873046875,2,tag
1789314010.404447,2.0,1.9873046875,2,tag
1789314010.421319,2.0,1.98828125,2,tag
1789314010.437769,2.0,1.9892578125,2,tag
