ts,true_distance,depth_m,confidence,lighting
1789314147.347034,3.0,3.009765625,2,nacht
1789314147.3501291,3.0,3.009765625,2,nacht
1789314147.366807,3.0,3.01171875,2,nacht
1789314147.38349,3.0,3.009765625,2,nacht
1789314147.400145,3.0,3.009765625,2,nacht
1789314147.416776,3.0,3.0078125,2,nacht
1789314147.433598,3.0,3.009765625,2,nacht
1789314147.450249,3.0,3.009765625,2,nacht
1789314147.466902,3.0,3.01171875,2,nacht
1789314147.483572,3.0,3.01171875,2,nacht
1789314147.500228,3.0,3.01171875,2,nacht
1789314147.516873,3.0,3.01171875,2,nacht
1789314147.533489,3.0,3.013671875,2,nacht
1789314147.5501509,3.0,3.013671875,2,nacht
1789314147.566873,3.0,3.01171875,2,nacht
1789314147.583575,3.0,3.01171875,2,nacht
1789314147.6001549,3.0,3.013671875,2,nacht
1789314147.616781,3.0,3.009765625,2,nacht
1789314147.6334538,3.0,3.013671875,2,nacht
1789314147.6502829,3.0,3.013671875,2,nacht
1789314147.666947,3.0,3.013671875,2,nacht
1789314147.683444,3.0,3.013671875,2,nacht
1789314147.70014,3.0,3.013671875,2,nacht
1789314147.71678,3.0,3.013671875,2,nacht
1789314147.733568,3.0,3.015625,2,nacht
1789314147.7501101,3.0,3.013671875,2,nacht
1789314147.767002,3.0,3.013671875,2,nacht
1789314147.783444,3.0,3.017578125,2,nacht
1789314147.8001409,3.0,3.013671875,2,nacht
1789314147.816786,3.0,3.013671875,2,nacht
