ts,true_distance,depth_m,confidence,lighting
1789314053.953052,5.0,5.0,2,tag
1789314053.9603848,5.0,5.0,2,tag
1789314053.976921,5.0,4.99609375,2,tag
1789314053.993587,5.0,5.0,2,tag
1789314054.010237,5.0,5.0,2,tag
1789314054.026907,5.0,5.0,2,tag
1789314054.04355,5.0,5.00390625,2,tag
1789314054.060268,5.0,5.0,2,tag
1789314054.076891,5.0,5.00390625,2,tag
1789314054.0936952,5.0,5.0,2,tag
1789314054.1104121,5.0,5.00390625,2,tag
1789314054.127057,5.0,5.0078125,2,tag
1789314054.143731,5.0,5.0078125,2,tag
1789314054.160469,5.0,5.00390625,2,tag
1789314054.17699,5.0,5.0,2,tag
1789314054.193743,5.0,5.0,2,tag
1789314054.2104,5.0,5.00390625,2,tag
1789314054.2269092,5.0,5.0,2,tag
1789314054.2437758,5.0,5.0,2,tag
1789314054.260498,5.0,5.00390625,2,tag
1789314054.277062,5.0,5.00390625,2,tag
1789314054.293668,5.0,5.0078125,2,tag
1789314054.310375,5.0,5.0078125,2,tag
1789314054.327052,5.0,5.01171875,2,tag
1789314054.360396,5.0,5.0078125,2,tag
1789314054.376029,5.0,5.01171875,2,tag
1789314054.380745,5.0,5.0078125,2,tag
1789314054.393785,5.0,5.01171875,2,tag
1789314054.4103808,5.0,5.01171875,2,tag
1789314054.4270911,5.0,5.0078125,2,tag
