ts,true_distance,depth_m,confidence,lighting
1789314193.1909928,0.5,0.50439453125,2,tag
1789314193.19104,0.5,0.50439453125,2,tag
1789314193.200917,0.5,0.50390625,2,tag
1789314193.2175741,0.5,0.50439453125,2,tag
1789314193.2342439,0.5,0.50439453125,2,tag
1789314193.250907,0.5,0.5048828125,2,tag
1789314193.268215,0.5,0.5048828125,2,tag
1789314193.2871652,0.5,0.5048828125,2,tag
1789314193.3042479,0.5,0.50537109375,2,tag
1789314193.3176122,0.5,0.50537109375,2,tag
1789314193.33431,0.5,0.50537109375,2,tag
1789314193.351002,0.5,0.50537109375,2,tag
1789314193.367684,0.5,0.50537109375,2,tag
1789314193.386321,0.5,0.505859375,2,tag
1789314193.400971,0.5,0.505859375,2,tag
1789314193.420022,0.5,0.505859375,2,tag
1789314193.436201,0.5,0.505859375,2,tag
1789314193.454345,0.5,0.505859375,2,tag
1789314193.467768,0.5,0.505859375,2,tag
1789314193.484257,0.5,0.505859375,2,tag
1789314193.501025,0.5,0.505859375,2,tag
1789314193.517607,0.5,0.50634765625,2,tag
1789314193.534421,0.5,0.50634765625,2,tag
1789314193.553637,0.5,0.50634765625,2,tag
1789314193.5712252,0.5,0.505859375,2,tag
1789314193.5843902,0.5,0.50634765625,2,tag
1789314193.60106,0.5,0.5068359375,2,tag
1789314193.617702,0.5,0.50732421875,2,tag
1789314193.634358,0.5,0.50732421875,2,tag
1789314193.650986,0.5,0.5078125,2,tag
