ts,true_distance,depth_m,confidence,lighting
1789314169.693345,5.0,5.00390625,2,nacht
1789314169.70033,5.0,5.0078125,2,nacht
1789314169.717036,5.0,5.01171875,2,nacht
1789314169.733638,5.0,5.0078125,2,nacht
1789314169.750301,5.0,5.0078125,2,nacht
1789314169.766959,5.0,5.0078125,2,nacht
1789314169.783658,5.0,5.0078125,2,nacht
1789314169.8003721,5.0,5.0078125,2,nacht
1789314169.81714,5.0,5.0078125,2,nacht
1789314169.833652,5.0,5.0078125,2,nacht
1789314169.850294,5.0,5.01171875,2,nacht
1789314169.86709,5.0,5.0078125,2,nacht
1789314169.88375,5.0,5.0078125,2,nacht
1789314169.900342,5.0,5.00390625,2,nacht
1789314169.9174829,5.0,5.0,2,nacht
1789314169.9336429,5.0,5.0,2,nacht
1789314169.950276,5.0,5.0,2,nacht
1789314169.9671102,5.0,4.9921875,2,nacht
1789314169.983756,5.0,4.99609375,2,nacht
1789314170.000416,5.0,5.0,2,nacht
1789314170.017002,5.0,4.99609375,2,nacht
1789314170.033634,5.0,5.0,2,nacht
1789314170.050286,5.0,4.99609375,2,nacht
1789314170.06703,5.0,4.99609375,2,nacht
1789314170.083799,5.0,5.0,2,nacht
1789314170.100291,5.0,5.0,2,nacht
1789314170.117113,5.0,5.00390625,2,nacht
1789314170.1336699,5.0,5.0,2,nacht
1789314170.150409,5.0,5.00390625,2,nacht
1789314170.16706,5.0,5.0,2,nacht
